transaction_id,branch_id,city,timestamp,amount,status,account_number,failure_reason,user_name
1,B001,Los Angeles,2025-04-13 15:44:27,412.31,SUCCESS,DWPK54018971370841,,Cole Smith
2,B001,,2025-04-08 10:10:35,704.31,PENDING,XJPK14911044647048,,Stefanie Robinson
3,B002,Chicago,2025-04-17 09:45:25,728.22,,HWZD75215119847432,,Gail Hunt
4,B003,New York,2025-04-12 16:53:01,484.45,SUCCESS,FWMG87448865207322,,James Randolph
5,B001,,2025-04-04 16:28:33,996.0,,WYZG20158436680100,,Mary Luna
6,B001,New York,2025-04-17 19:35:55,666.25,PENDING,QJWF66088329562593,,Mrs. Emily Parsons
7,B003,Chicago,2025-04-14 00:59:51,,FAILED,HHWE33726053719079,Card Expired,Charles Martinez
8,B001,Chicago,2025-04-30 20:53:27,82.09,,MTCG69645078256255,,Deborah Gordon
9,B002,Chicago,2025-04-13 18:43:13,374.8,,TXOX52848189668688,,Thomas French
10,B001,Chicago,2025-04-24 12:56:44,345.16,PENDING,MHZY56681777435586,,Lauren Shelton
11,B001,Los Angeles,2025-04-18 19:16:28,439.18,SUCCESS,VWKZ82758069106745,,Vincent Pham
12,B002,,2025-04-03 20:05:30,411.42,,IQDU60665887274980,,
13,,,2025-04-23 00:30:13,429.93,PENDING,ZPRK25666603035517,,Mr. William Berg MD
14,B001,,2025-04-24 08:04:33,109.17,PENDING,JKQX21155201745386,,Anita Copeland
15,,New York,2025-04-12 05:59:17,222.28,SUCCESS,,,Christina Frederick
16,B002,Chicago,2025-04-19 11:38:34,797.67,SUCCESS,AFJH98417019987118,,Stephanie Cannon
17,B002,New York,,353.11,,XIKH00314591075285,,Jason Wade
18,B001,Los Angeles,2025-04-28 10:10:16,493.66,,WOYV26831854378826,,Theresa Powell
19,B002,Chicago,2025-04-19 14:41:07,617.42,,HHVQ81706226279973,,Stephanie Franklin
20,B001,,2025-04-20 18:29:01,453.66,PENDING,UKQE67737401402541,,Dana Gallegos
21,,Chicago,2025-04-04 12:03:53,121.29,FAILED,FLOM39616842127921,,Abigail Martinez
22,B001,,2025-04-29 15:31:41,671.58,,ATAE79674648564370,,Austin Lloyd
23,B003,New York,2025-04-10 09:27:52,339.37,,,,Angela Miller
24,B003,,2025-04-06 09:24:18,,FAILED,ZXLO97939763559046,Insufficient Funds,Angelica Bailey
25,B002,Los Angeles,2025-04-26 00:54:20,875.69,SUCCESS,VMKH77347714825335,,Gregory Becker
26,B002,New York,2025-04-18 12:57:35,924.56,FAILED,TNHT81876232366640,,Paula Young
27,B001,,2025-04-22 11:16:10,700.34,SUCCESS,,,Daniel Perez
28,B003,,2025-04-24 17:15:54,40.75,PENDING,GXYZ16009263493460,,Elizabeth Fitzgerald
29,B001,Los Angeles,2025-04-04 13:56:43,181.38,FAILED,,,Dale Ochoa
30,B001,Chicago,2025-04-24 23:35:23,882.87,SUCCESS,UPCB32037774147684,,Matthew Olson
31,B003,Chicago,2025-04-08 00:42:28,335.01,PENDING,QKJM77829443170421,,Tracy Robinson
32,B001,New York,2025-04-04 16:54:26,813.91,,VZVK31859998163039,,Juan Hicks
33,,New York,2025-04-30 15:42:50,245.06,FAILED,UEPW22653844011420,,Patrick Moon
34,B001,New York,2025-04-23 05:42:30,724.94,,RLMW56759879877478,,Stephanie White
35,B003,New York,2025-04-24 14:19:36,38.45,,LOZL63348445051345,,Luis Jordan
36,B002,Los Angeles,2025-04-08 22:24:13,915.37,,PCOC74090004652690,,Dean Alvarez
37,,New York,2025-04-23 05:11:21,856.62,,VXVZ00423314572840,,Derek Montgomery
38,B002,Chicago,2025-04-21 15:57:27,489.07,,AFMR70051338630304,,Sarah Brown
39,B002,New York,2025-04-06 21:18:47,796.89,FAILED,EZZU46199323683451,Insufficient Funds,Ronnie Gonzalez
40,,Los Angeles,2025-04-22 11:15:51,503.1,SUCCESS,DEGU95449231746147,,Jaime Jimenez
41,B002,,2025-04-02 02:59:05,222.58,,,,James Bray
42,B002,New York,2025-04-18 15:30:08,,PENDING,BCMB65819154078045,,James Thompson
43,B003,Los Angeles,2025-04-29 14:12:41,312.44,FAILED,USEZ81909468986972,Insufficient Funds,Amy Ortiz
44,B001,,2025-04-02 20:28:06,195.2,SUCCESS,RMOE65407238889321,,Kayla Robinson
45,B003,,2025-04-16 00:01:40,983.01,,BUGL13362306335053,,Sara Davidson
46,B002,,2025-04-15 13:02:29,911.48,,HHCF03781246543750,,Adam Herrera
47,B003,New York,2025-04-05 11:32:20,727.34,FAILED,HKBV20368039568821,Card Expired,Brian Meza
48,B002,New York,2025-04-12 04:56:38,282.72,,ZQSX77189143875394,,Jennifer Farmer
49,,New York,2025-04-05 01:41:50,511.28,SUCCESS,NQXE34568443590671,,William Everett
50,,,2025-04-29 07:27:14,507.51,FAILED,VZSE88241261177566,,Christopher Mcbride
